"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Nov 10 13:36:34 GMT 2022","Thu Nov 10 13:36:34 GMT 2022","76","firefox","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Search random existing article on the Blog page",""
"failed","Thu Nov 10 13:35:53 GMT 2022","Thu Nov 10 13:35:53 GMT 2022","71","chromium","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the random Use Case article from the Main page",""
"failed","Thu Nov 10 13:37:14 GMT 2022","Thu Nov 10 13:37:15 GMT 2022","134","firefox","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in requireds fields with already registered email",""
"failed","Thu Nov 10 13:36:26 GMT 2022","Thu Nov 10 13:36:26 GMT 2022","153","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Sign up after click ""Try it for free"" button on the main page by filling in in requireds fields with already registered email",""
"failed","Thu Nov 10 13:36:50 GMT 2022","Thu Nov 10 13:36:50 GMT 2022","116","firefox","contact.support.spec.ts","Test suite with support contact cases","","","Go to ""Contact us"" page from the Main page and request support by filling all fields with random valid data",""
"failed","Thu Nov 10 13:36:01 GMT 2022","Thu Nov 10 13:36:01 GMT 2022","149","chromium","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Downolad SIP Trunking pricing CSV file from the Elastic SIP Trunking price page",""
"failed","Thu Nov 10 13:36:25 GMT 2022","Thu Nov 10 13:36:25 GMT 2022","145","chromium","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"failed","Thu Nov 10 13:37:14 GMT 2022","Thu Nov 10 13:37:14 GMT 2022","172","firefox","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"failed","Thu Nov 10 13:36:01 GMT 2022","Thu Nov 10 13:36:01 GMT 2022","218","chromium","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Partners page and become a Telnyx Partner by filling in the all fields with random valid data",""
"failed","Thu Nov 10 13:36:01 GMT 2022","Thu Nov 10 13:36:01 GMT 2022","122","chromium","contact.support.spec.ts","Test suite with support contact cases","","","Send report abuse link from the Main page",""
